,id,screen_name,astroturf,fake_follower,financial,other,overall,self_declared,spammer,english,universal
0,1289624030102921216,carlos_avg92,0.2,3.0,2.7,2.7,3.0,0.2,1.8,0.7966668301280437,0.805428834471509
0,1722406063,MdowstD,0.0,4.4,1.4,4.1,4.4,3.2,3.6,0.8457543526336647,0.8532920387559139
0,1519816807456120832,Emmanuel_D_Rios,0.6,3.7,1.2,3.2,3.7,3.4,2.5,0.8008799175144752,0.8474634546636374
0,1509454518,von_monica,4.6,2.0,0.0,3.6,4.6,0.0,0.0,0.8829632678129363,0.8808312676897403
0,753775950337286144,deleiaras,0.2,1.4,0.2,3.8,3.8,3.1,1.1,0.8021481695167405,0.8068955728616037
0,1525313330423939072,ImalatcTencere,0.2,5.0,3.6,4.8,5.0,3.2,2.8,0.9373635156266058,1.0
0,1431138262685417476,singhutkarsh956,0.0,4.4,1.2,4.9,4.9,3.2,3.2,0.9307543294922915,0.8733944954488508
0,1260356284462891008,EmilioDAndrea3,0.2,4.6,3.6,4.6,4.6,2.6,2.7,0.8829632678129363,0.8474634546636374
0,2386362128,gkramersan,0.0,3.1,0.4,3.6,3.6,3.1,2.8,0.7998362042473794,0.8082278383974655
0,1525317580533116928,GacysTikiBar,0.8,3.1,3.0,3.2,3.8,3.8,3.0,0.8036706514015852,0.8288069415530707
0,1501038893889691656,kingmenh_30BG,0.6,1.1,0.1,1.0,1.7,0.1,1.2,0.7874002196908744,0.7897432630001835
0,1441157332881199111,z_e_t_4,0.2,3.0,1.7,3.4,3.4,2.7,2.0,0.797075908158591,0.8055586579935085
0,108637949,rosmelysm,0.6,0.6,0.4,2.0,1.6,0.2,0.1,0.7826357858330618,0.49449072748283696
0,1525316460049858560,noah_perri2,0.6,4.3,2.1,3.2,4.3,3.5,2.8,0.8395863545645614,0.8885263643630983
0,1494490469270794261,Dayan04419456,0.1,4.6,3.3,5.0,5.0,3.0,1.4,0.9373635156266058,1.0
0,1505559389729656842,Adeel_Ahmed_BUX,0.2,1.8,0.2,2.9,1.8,0.4,1.0,0.7920317685697057,0.6608500314332488
0,1520929901582376964,QueenClamora,0.2,1.9,0.2,1.4,1.6,0.6,1.3,0.779581525363529,0.760577756485164
0,1259742932464066563,alizoyaaa,0.6,3.0,2.9,2.9,3.4,3.4,3.4,0.797075908158591,0.8102129289660348
